ma_khach_hang,ho_ten,gioi_tinh,tuoi,ngay_dang_ky,danh_muc_yeu_thich,ma_dia_ly,ma_kenh
CUS0005318,Hồ Thảo,Female,20,2024-05-07,Sunscreen,7,8
CUS0005319,Hoàng Linh,Female,28,2022-09-22,Serum,22,7
CUS0005320,Bùi An,Female,21,2025-06-06,Sunscreen,10,7
CUS0005321,Nguyễn Trang,Female,35,2022-09-27,Toner,23,7
CUS0005322,Hồ An,Female,28,2022-04-11,Serum,7,7
CUS0005323,Đỗ Dũng,Male,16,2024-06-02,Sunscreen,10,2
CUS0005324,Bùi Ngọc,Female,19,2023-01-25,Sunscreen,3,3
CUS0005325,Trần Anh,Male,33,2023-11-08,Moisturizer,19,2
CUS0005326,Lý Nam,Male,35,2025-11-13,Cleanser,7,7
CUS0005327,Lý Khoa,Male,16,2023-01-05,Serum,1,8
CUS0005328,Phạm Phúc,Male,34,2023-02-02,Moisturizer,16,3
CUS0005329,Dương Nga,Female,30,2025-02-16,Serum,15,2
CUS0005330,Lý Thảo,Female,23,2025-01-12,Serum,23,8
CUS0005331,Phan Ngọc,Female,18,2024-08-04,Cleanser,1,8
CUS0005332,Vũ Quân,Male,17,2025-12-21,Sunscreen,16,7
CUS0005333,Phan Phúc,Male,23,2024-10-07,Sunscreen,23,7
CUS0005334,Bùi Vy,Female,31,2025-02-03,Sunscreen,10,2
CUS0005335,Phạm Long,Male,29,2022-04-05,Cleanser,3,2
CUS0005336,Hoàng Hùng,Male,16,2023-08-07,Serum,8,7
CUS0005337,Hoàng Chi,Female,43,2024-05-27,Sunscreen,3,5
CUS0005338,Phan Mai,Female,32,2022-01-06,Cleanser,3,7
CUS0005339,Dương Mai,Female,21,2023-07-14,Cleanser,3,7
CUS0005340,Ngô Nga,Female,53,2025-01-02,Cleanser,13,7
CUS0005341,Lê Hải,Male,48,2023-10-19,Sunscreen,11,5
CUS0005342,Hồ Trang,Female,36,2025-04-04,Sunscreen,15,7
CUS0005343,Vũ Hà,Female,21,2024-02-17,Toner,15,1
CUS0005344,Lý Trang,Female,22,2022-08-19,Moisturizer,2,7
CUS0005345,Đặng Hoa,Female,41,2023-11-30,Serum,16,1
CUS0005346,Hồ Nam,Male,16,2024-07-12,Serum,16,7
CUS0005347,Đặng Hải,Male,28,2025-12-23,Sunscreen,6,7
CUS0005348,Nguyễn Thu,Female,27,2022-06-02,Cleanser,11,7
CUS0005349,Hồ Thu,Female,20,2024-08-27,Toner,21,3
CUS0005350,Lê Nga,Female,21,2022-02-27,Sunscreen,14,3
CUS0005351,Hồ Quân,Male,20,2024-09-19,Sunscreen,23,1
CUS0005352,Hoàng Linh,Female,17,2025-04-17,Toner,15,2
CUS0005353,Ngô Vy,Female,30,2025-06-26,Cleanser,11,7
CUS0005354,Nguyễn Chi,Female,19,2024-09-29,Serum,8,5
CUS0005355,Đặng Phương,Female,25,2025-01-30,Sunscreen,8,7
CUS0005356,Đỗ Hoa,Female,17,2023-12-03,Toner,8,3
CUS0005357,Đỗ Hương,Female,37,2022-05-28,Serum,6,1
CUS0005358,Trần Dũng,Male,34,2023-03-11,Cleanser,17,7
CUS0005359,Vũ Trang,Female,30,2022-02-15,Serum,14,6
CUS0005360,Lê Hương,Female,18,2024-12-24,Serum,11,2
CUS0005361,Trần Hà,Female,21,2025-10-17,Sunscreen,16,7
CUS0005362,Dương Minh,Male,42,2025-03-20,Serum,15,1
CUS0005363,Lý Chi,Female,38,2025-03-26,Moisturizer,16,5
CUS0005364,Đặng Diệu,Female,29,2025-01-12,Cleanser,16,7
CUS0005365,Ngô Vy,Female,37,2024-07-21,Serum,15,2
CUS0005366,Phạm Bình,Male,23,2023-07-28,Serum,6,2
CUS0005367,Bùi Vy,Female,29,2024-02-10,Serum,10,1
CUS0005368,Trần Diệu,Female,23,2023-01-21,Cleanser,11,1
CUS0005369,Đặng Nhung,Female,21,2023-04-05,Toner,3,7
CUS0005370,Bùi Bảo,Female,18,2024-12-28,Serum,23,7
CUS0005371,Ngô Nhung,Female,30,2024-07-31,Sunscreen,20,2
CUS0005372,Hoàng Chi,Female,33,2025-05-05,Moisturizer,23,2
CUS0005373,Đặng Việt,Male,38,2024-02-19,Sunscreen,7,8
CUS0005374,Lý Nam,Male,24,2025-05-14,Cleanser,15,3
CUS0005375,Đặng Thảo,Female,45,2025-11-26,Serum,4,5
CUS0005376,Hoàng Ngọc,Female,32,2023-04-18,Sunscreen,6,6
CUS0005377,Đặng Nam,Male,22,2025-07-17,Toner,15,7
CUS0005378,Hoàng Hà,Female,25,2025-04-12,Sunscreen,20,7
CUS0005379,Ngô Lan,Female,35,2023-09-28,Cleanser,8,7
CUS0005380,Phan Vy,Female,32,2024-08-18,Cleanser,10,7
CUS0005381,Vũ Hùng,Male,21,2022-12-24,Toner,3,8
CUS0005382,Lê Anh,Male,26,2023-04-18,Toner,3,1
CUS0005383,Dương Diệu,Female,25,2022-07-03,Serum,2,6
CUS0005384,Đặng Đức,Male,24,2025-09-12,Moisturizer,3,3
CUS0005385,Phan Vy,Female,19,2025-08-23,Toner,20,2
CUS0005386,Đặng Dũng,Male,34,2025-01-22,Sunscreen,11,7
CUS0005387,Bùi Thảo,Female,43,2024-09-25,Cleanser,17,2
CUS0005388,Lý Anh,Male,18,2022-04-21,Toner,8,8
CUS0005389,Nguyễn Phương,Female,24,2022-10-07,Moisturizer,12,2
CUS0005390,Đỗ Thu,Female,33,2024-05-15,Serum,12,7
CUS0005391,Hoàng Thảo,Female,26,2024-11-25,Serum,15,8
CUS0005392,Ngô Mai,Female,39,2025-08-27,Moisturizer,12,8
CUS0005393,Vũ Diệu,Female,19,2025-01-18,Sunscreen,10,2
CUS0005394,Bùi Hương,Female,24,2022-07-17,Serum,17,5
CUS0005395,Đặng Nam,Male,26,2022-05-14,Sunscreen,11,7
CUS0005396,Ngô Long,Male,26,2022-01-14,Sunscreen,11,1
CUS0005397,Vũ Nga,Female,32,2025-02-09,Moisturizer,18,8
CUS0005398,Bùi Nam,Male,21,2025-02-05,Moisturizer,11,7
CUS0005399,Đặng Khoa,Male,35,2024-03-11,Moisturizer,20,3
CUS0005400,Phạm An,Female,32,2023-06-27,Serum,10,2
CUS0005401,Ngô Nhung,Female,33,2025-09-07,Toner,8,7
CUS0005402,Trần Vy,Female,23,2025-05-04,Toner,4,3
CUS0005403,Phan Thảo,Female,31,2022-12-13,Toner,14,3
CUS0005404,Lê Nga,Female,23,2024-07-11,Toner,11,1
CUS0005405,Bùi Linh,Female,23,2023-12-25,Sunscreen,8,2
CUS0005406,Ngô Khoa,Male,27,2025-06-10,Moisturizer,15,7
CUS0005407,Dương Diệu,Female,30,2024-01-25,Cleanser,10,7
CUS0005408,Lý Thảo,Female,25,2024-01-02,Serum,17,8
CUS0005409,Lý Lan,Female,43,2023-08-25,Cleanser,21,3
CUS0005410,Bùi An,Female,30,2024-07-19,Cleanser,6,7
CUS0005411,Hồ Mai,Female,40,2024-07-01,Toner,11,2
CUS0005412,Đặng Sơn,Male,34,2025-07-07,Serum,16,2
CUS0005413,Lý Trang,Female,21,2022-11-03,Serum,8,7
CUS0005414,Bùi Bảo,Female,16,2024-12-24,Moisturizer,20,2
CUS0005415,Vũ Thảo,Female,44,2022-04-19,Cleanser,6,8
CUS0005416,Nguyễn Thu,Female,27,2025-07-16,Moisturizer,19,6
CUS0005417,Lý Quân,Male,38,2023-08-31,Sunscreen,11,7
CUS0005418,Bùi Linh,Female,34,2022-04-16,Toner,22,3
CUS0005419,Đỗ An,Female,32,2025-06-20,Moisturizer,20,8
CUS0005420,Đặng Vy,Female,24,2023-03-26,Cleanser,7,2
CUS0005421,Lý Minh,Male,32,2025-03-02,Toner,12,1
CUS0005422,Nguyễn Nga,Female,25,2023-09-26,Cleanser,8,3
CUS0005423,Phan Hoa,Female,44,2023-02-06,Sunscreen,19,6
CUS0005424,Đỗ Bình,Male,34,2025-07-06,Serum,20,2
CUS0005425,Lê Vy,Female,26,2025-12-06,Cleanser,22,8
CUS0005426,Nguyễn Thảo,Female,34,2024-10-09,Serum,11,7
CUS0005427,Lý Lan,Female,25,2023-09-08,Serum,19,2
CUS0005428,Bùi Diệu,Female,17,2025-12-10,Serum,23,2
CUS0005429,Dương Việt,Male,33,2025-10-07,Sunscreen,7,7
CUS0005430,Phạm Dũng,Male,37,2023-06-21,Toner,7,8
CUS0005431,Đỗ Bảo,Female,27,2023-10-20,Moisturizer,7,7
CUS0005432,Trần Hoa,Female,25,2023-03-21,Serum,11,5
CUS0005433,Lê Việt,Male,21,2025-03-04,Moisturizer,1,8
CUS0005434,Nguyễn Phúc,Male,16,2024-02-11,Moisturizer,11,7
CUS0005435,Lý Thu,Female,29,2024-07-18,Sunscreen,15,7
CUS0005436,Phan Linh,Female,16,2025-07-25,Serum,23,7
CUS0005437,Đặng Nhung,Female,37,2022-12-20,Sunscreen,16,1
CUS0005438,Vũ Phương,Female,20,2025-10-28,Cleanser,16,3
CUS0005439,Hoàng Hải,Male,23,2024-04-07,Cleanser,4,2
CUS0005440,Lê Ngọc,Female,36,2023-08-25,Serum,8,7
CUS0005441,Đỗ Nhung,Female,31,2024-03-08,Toner,8,8
CUS0005442,Bùi Diệu,Female,27,2023-12-14,Sunscreen,22,7
CUS0005443,Nguyễn Việt,Male,34,2025-04-15,Cleanser,20,2
CUS0005444,Lý Vy,Female,24,2024-01-23,Serum,2,7
CUS0005445,Lý Bảo,Female,27,2024-10-10,Sunscreen,10,5
CUS0005446,Hồ Lan,Female,20,2024-10-19,Sunscreen,21,2
CUS0005447,Nguyễn Nhung,Female,30,2024-01-05,Cleanser,6,2
CUS0005448,Phan Vy,Female,38,2025-12-22,Cleanser,11,8
CUS0005449,Phạm Nhung,Female,37,2022-04-04,Serum,16,7
CUS0005450,Ngô Anh,Male,32,2025-09-11,Toner,12,2
CUS0005451,Bùi Khoa,Male,38,2023-06-12,Cleanser,16,6
CUS0005452,Ngô Cường,Male,33,2025-04-21,Sunscreen,16,7
CUS0005453,Đỗ Bảo,Female,24,2023-10-10,Toner,1,7
CUS0005454,Hoàng Linh,Female,25,2023-07-20,Cleanser,17,2
CUS0005455,Đặng Nga,Female,24,2025-01-13,Moisturizer,17,6
CUS0005456,Lý An,Female,33,2022-02-22,Serum,11,2
CUS0005457,Hoàng Hương,Female,27,2023-11-03,Sunscreen,8,5
CUS0005458,Ngô Nhung,Female,28,2025-12-24,Sunscreen,16,6
CUS0005459,Hoàng Trang,Female,26,2024-03-22,Moisturizer,23,7
CUS0005460,Bùi Lan,Female,25,2022-05-30,Serum,3,7
CUS0005461,Lê Ngọc,Female,16,2022-10-18,Sunscreen,17,2
CUS0005462,Trần Sơn,Male,35,2025-02-08,Moisturizer,15,7
CUS0005463,Phạm An,Female,22,2023-01-18,Moisturizer,20,3
CUS0005464,Lý Mai,Female,35,2024-04-13,Sunscreen,3,6
CUS0005465,Phan Vy,Female,44,2022-05-16,Sunscreen,16,7
CUS0005466,Bùi An,Female,16,2025-05-01,Toner,10,7
CUS0005467,Đặng Chi,Female,24,2024-07-02,Serum,11,2
CUS0005468,Vũ Diệu,Female,20,2023-05-10,Cleanser,6,5
CUS0005469,Vũ Phương,Female,29,2024-05-04,Cleanser,9,5
CUS0005470,Hoàng Linh,Female,33,2024-08-12,Moisturizer,8,2
CUS0005471,Nguyễn Hà,Female,34,2025-10-11,Cleanser,10,6
CUS0005472,Hoàng Tài,Male,33,2024-04-24,Serum,1,7
CUS0005473,Phan Anh,Male,28,2025-09-24,Serum,23,7
CUS0005474,Đỗ Mai,Female,27,2025-11-25,Serum,17,8
CUS0005475,Lê Vy,Female,29,2024-02-24,Serum,7,8
CUS0005476,Ngô Thảo,Female,23,2025-09-19,Serum,9,7
CUS0005477,Hoàng Thu,Female,36,2023-07-20,Cleanser,3,2
CUS0005478,Dương An,Female,16,2022-04-26,Serum,17,2
CUS0005479,Hoàng Thu,Female,29,2023-06-02,Cleanser,18,7
CUS0005480,Hồ Trang,Female,26,2025-11-04,Sunscreen,19,6
CUS0005481,Hoàng Tài,Male,22,2025-09-03,Sunscreen,17,7
CUS0005482,Hoàng Linh,Female,27,2025-11-14,Toner,15,7
CUS0005483,Ngô Thu,Female,38,2025-03-11,Moisturizer,3,5
CUS0005484,Đặng Hải,Male,17,2023-07-01,Cleanser,13,1
CUS0005485,Phan Hà,Female,31,2025-10-12,Serum,11,2
CUS0005486,Đỗ Bảo,Female,37,2025-08-20,Sunscreen,9,2
CUS0005487,Hồ Nhung,Female,23,2024-08-10,Moisturizer,10,8
CUS0005488,Ngô Tài,Male,33,2025-10-04,Toner,2,2
CUS0005489,Phạm Nhung,Female,24,2023-04-10,Serum,18,2
CUS0005490,Bùi Hoa,Female,37,2023-08-08,Cleanser,7,7
CUS0005491,Bùi Thu,Female,41,2025-07-30,Serum,17,7
CUS0005492,Trần Vy,Female,32,2022-12-01,Cleanser,1,2
CUS0005493,Lý Sơn,Male,39,2025-07-06,Sunscreen,9,8
CUS0005494,Trần Nga,Female,21,2025-11-14,Serum,15,2
CUS0005495,Phạm Bình,Male,25,2025-04-25,Serum,10,7
CUS0005496,Đỗ Hải,Male,23,2024-06-11,Serum,12,6
CUS0005497,Lê Vy,Female,24,2022-08-30,Cleanser,23,2
CUS0005498,Ngô Nhung,Female,16,2025-11-29,Toner,3,3
CUS0005499,Dương Khoa,Male,16,2022-05-21,Sunscreen,16,6
CUS0005500,Phạm Nga,Female,36,2024-07-12,Serum,7,7
CUS0005501,Ngô Hải,Male,35,2024-02-15,Moisturizer,3,5
CUS0005502,Phan Nga,Female,35,2023-11-25,Toner,15,8
CUS0005503,Đặng Hoa,Female,25,2025-03-26,Serum,3,2
CUS0005504,Phạm Long,Male,27,2025-04-10,Moisturizer,10,7
CUS0005505,Đỗ Linh,Female,36,2024-04-13,Moisturizer,10,3
CUS0005506,Dương Phương,Female,26,2025-06-17,Moisturizer,16,8
CUS0005507,Phan Hương,Female,24,2023-03-01,Moisturizer,10,2
CUS0005508,Ngô Mai,Female,34,2025-12-14,Serum,7,1
CUS0005509,Hồ Nhung,Female,30,2024-05-26,Moisturizer,7,2
CUS0005510,Hoàng An,Female,27,2024-07-24,Cleanser,8,2
CUS0005511,Phạm Chi,Female,31,2023-11-10,Cleanser,7,7
CUS0005512,Ngô Ngọc,Female,19,2022-12-02,Moisturizer,8,6
CUS0005513,Lý Quân,Male,18,2024-08-07,Moisturizer,20,2
CUS0005514,Phan Lan,Female,34,2025-01-11,Cleanser,7,5
CUS0005515,Nguyễn Linh,Female,17,2022-06-28,Cleanser,11,4
CUS0005516,Đỗ Nhung,Female,25,2024-09-05,Serum,11,2
CUS0005517,Lê Hương,Female,35,2025-06-30,Moisturizer,14,8
CUS0005518,Lê Nhung,Female,34,2025-02-04,Cleanser,22,8
CUS0005519,Nguyễn Diệu,Female,36,2025-01-18,Cleanser,11,7
CUS0005520,Đỗ Cường,Male,16,2024-07-20,Serum,20,2
CUS0005521,Bùi Thảo,Female,31,2025-11-23,Cleanser,8,2
CUS0005522,Lê An,Female,28,2025-10-27,Moisturizer,6,7
CUS0005523,Bùi Hương,Female,33,2025-02-04,Cleanser,3,7
CUS0005524,Lê Quân,Male,32,2023-02-09,Sunscreen,11,1
CUS0005525,Đặng Diệu,Female,30,2024-12-26,Cleanser,7,6
CUS0005526,Dương Linh,Female,35,2025-08-16,Toner,16,7
CUS0005527,Ngô Ngọc,Female,46,2024-06-12,Toner,23,2
CUS0005528,Ngô Tuấn,Male,19,2025-03-26,Sunscreen,21,8
CUS0005529,Đặng Vy,Female,19,2024-11-06,Cleanser,12,7
CUS0005530,Ngô Nga,Female,31,2024-01-25,Toner,11,2
CUS0005531,Ngô Phương,Female,44,2025-01-08,Sunscreen,16,7
CUS0005532,Đặng Chi,Female,18,2024-10-10,Cleanser,16,7
CUS0005533,Phạm Mai,Female,27,2023-12-14,Sunscreen,20,8
CUS0005534,Dương Trang,Female,22,2024-08-12,Serum,13,2
CUS0005535,Dương Vy,Female,20,2025-03-01,Serum,8,6
CUS0005536,Nguyễn Ngọc,Female,19,2024-06-08,Toner,10,2
CUS0005537,Trần Thu,Female,33,2022-07-06,Cleanser,6,8
CUS0005538,Nguyễn Nga,Female,26,2023-01-11,Serum,19,7
CUS0005539,Trần Lan,Female,38,2024-08-03,Cleanser,17,1
CUS0005540,Vũ Nga,Female,34,2025-09-15,Toner,15,7
CUS0005541,Lý Thảo,Female,35,2022-09-13,Moisturizer,23,8
CUS0005542,Trần An,Female,20,2023-04-05,Sunscreen,17,3
CUS0005543,Ngô Bảo,Female,40,2025-11-01,Serum,17,8
CUS0005544,Lê Lan,Female,29,2025-08-22,Moisturizer,15,1
CUS0005545,Dương Thảo,Female,16,2024-08-23,Sunscreen,4,8
CUS0005546,Vũ Diệu,Female,47,2024-02-23,Cleanser,4,7
CUS0005547,Vũ Trang,Female,33,2023-10-14,Cleanser,16,7
CUS0005548,Vũ Hà,Female,30,2022-03-26,Toner,20,6
CUS0005549,Dương Thu,Female,25,2024-11-23,Serum,11,6
CUS0005550,Trần Hoa,Female,29,2025-02-14,Toner,8,2
CUS0005551,Trần Hải,Male,27,2025-10-25,Cleanser,7,8
CUS0005552,Ngô Linh,Female,22,2022-01-08,Toner,17,7
CUS0005553,Hoàng Hà,Female,16,2023-08-26,Toner,22,3
CUS0005554,Phạm Hương,Female,21,2024-12-17,Serum,17,2
CUS0005555,Vũ Nhung,Female,26,2025-07-30,Serum,23,2
CUS0005556,Bùi Lan,Female,16,2023-08-03,Toner,5,2
CUS0005557,Đặng Trang,Female,33,2023-12-27,Toner,20,3
CUS0005558,Hoàng Linh,Female,25,2022-07-31,Sunscreen,23,7
CUS0005559,Vũ Ngọc,Female,31,2025-11-22,Serum,15,7
CUS0005560,Ngô Hương,Female,32,2024-05-09,Serum,11,7
CUS0005561,Đặng Hoa,Female,18,2022-07-29,Sunscreen,1,5
CUS0005562,Hoàng Thảo,Female,32,2024-12-11,Serum,4,8
CUS0005563,Đỗ Lan,Female,33,2025-12-30,Cleanser,8,7
CUS0005564,Bùi Quân,Male,26,2025-04-30,Moisturizer,17,2
CUS0005565,Dương Mai,Female,37,2024-03-03,Sunscreen,3,2
CUS0005566,Dương Việt,Male,36,2023-03-01,Toner,20,7
CUS0005567,Dương Thảo,Female,31,2025-07-15,Moisturizer,14,7
CUS0005568,Hoàng Vy,Female,34,2025-11-27,Cleanser,1,7
CUS0005569,Bùi Mai,Female,26,2023-03-10,Sunscreen,17,8
CUS0005570,Vũ Nga,Female,22,2024-01-26,Sunscreen,22,7
CUS0005571,Trần Mai,Female,34,2023-03-24,Cleanser,23,6
CUS0005572,Hoàng Việt,Male,37,2025-01-29,Moisturizer,3,2
CUS0005573,Dương Lan,Female,38,2024-09-15,Serum,7,7
CUS0005574,Phan Phương,Female,29,2025-08-14,Moisturizer,8,5
CUS0005575,Ngô Tài,Male,35,2024-12-28,Toner,20,7
CUS0005576,Nguyễn Thu,Female,24,2023-08-28,Sunscreen,17,2
CUS0005577,Hồ Tuấn,Male,29,2025-06-24,Moisturizer,19,7
CUS0005578,Nguyễn Hoa,Female,36,2024-06-09,Toner,20,7
CUS0005579,Phan Thảo,Female,27,2024-10-08,Serum,3,7
CUS0005580,Lê Ngọc,Female,33,2022-12-30,Sunscreen,19,7
CUS0005581,Nguyễn Diệu,Female,21,2023-08-21,Serum,16,7
CUS0005582,Dương Trang,Female,16,2025-07-07,Serum,7,6
CUS0005583,Lý Khoa,Male,32,2023-12-11,Moisturizer,8,8
CUS0005584,Đặng Linh,Female,31,2024-01-26,Serum,7,2
CUS0005585,Dương Chi,Female,29,2025-09-28,Toner,15,5
CUS0005586,Bùi An,Female,29,2025-04-15,Moisturizer,8,7
CUS0005587,Ngô Cường,Male,25,2022-08-12,Moisturizer,3,2
CUS0005588,Phạm Phương,Female,16,2023-10-11,Sunscreen,8,2
CUS0005589,Lê Chi,Female,38,2025-05-20,Cleanser,15,7
CUS0005590,Lê Thảo,Female,29,2022-12-10,Sunscreen,4,7
CUS0005591,Hoàng Tuấn,Male,27,2022-01-22,Serum,23,8
CUS0005592,Hoàng Đức,Male,22,2025-11-03,Cleanser,10,8
CUS0005593,Ngô Chi,Female,19,2023-04-09,Sunscreen,17,8
CUS0005594,Dương Phương,Female,26,2024-01-15,Sunscreen,3,6
CUS0005595,Phạm Mai,Female,31,2022-06-28,Cleanser,8,2
CUS0005596,Phan An,Female,35,2024-08-10,Cleanser,3,2
CUS0005597,Đặng Minh,Male,16,2025-04-07,Serum,8,7
CUS0005598,Phan Vy,Female,16,2023-04-29,Serum,7,1
CUS0005599,Vũ Thu,Female,23,2024-05-18,Sunscreen,3,8
CUS0005600,Phạm Hùng,Male,22,2025-07-11,Serum,23,2
CUS0005601,Lý Lan,Female,26,2023-09-21,Serum,20,3
CUS0005602,Phan Hoa,Female,25,2025-12-01,Toner,8,7
CUS0005603,Phạm Chi,Female,38,2024-06-09,Toner,1,2
CUS0005604,Vũ Vy,Female,42,2023-02-19,Cleanser,3,1
CUS0005605,Đặng Chi,Female,35,2025-06-30,Sunscreen,23,8
CUS0005606,Nguyễn Phúc,Male,33,2025-04-08,Cleanser,22,7
CUS0005607,Vũ Linh,Female,26,2025-07-11,Cleanser,18,8
CUS0005608,Nguyễn Nhung,Female,16,2025-08-13,Moisturizer,10,1
CUS0005609,Phạm An,Female,28,2023-05-18,Cleanser,10,2
CUS0005610,Lê Hà,Female,16,2025-09-10,Serum,15,2
CUS0005611,Ngô Thảo,Female,18,2024-05-25,Cleanser,16,2
CUS0005612,Dương Ngọc,Female,16,2023-12-22,Toner,8,7
CUS0005613,Ngô Nga,Female,26,2025-01-19,Serum,8,7
CUS0005614,Lý Vy,Female,32,2024-02-25,Moisturizer,3,7
CUS0005615,Dương Sơn,Male,20,2024-02-25,Serum,16,3
CUS0005616,Lê Lan,Female,38,2023-02-07,Serum,12,3
CUS0005617,Lê An,Female,38,2024-04-27,Serum,15,5
CUS0005618,Hoàng Tuấn,Male,28,2025-02-08,Toner,12,8
CUS0005619,Đỗ Bình,Male,33,2023-05-22,Sunscreen,3,3
CUS0005620,Nguyễn Bảo,Female,27,2024-01-26,Serum,20,2
CUS0005621,Lê Thu,Female,34,2023-03-21,Moisturizer,8,7
CUS0005622,Phan Linh,Female,33,2023-12-24,Sunscreen,16,8
CUS0005623,Phạm Trang,Female,41,2022-10-27,Serum,5,3
CUS0005624,Vũ Thảo,Female,26,2025-04-12,Serum,12,3
CUS0005625,Bùi Chi,Female,37,2025-09-05,Toner,23,2
CUS0005626,Hoàng Chi,Female,32,2024-08-07,Moisturizer,20,7
CUS0005627,Nguyễn Mai,Female,31,2024-08-05,Sunscreen,6,8
CUS0005628,Đặng Nam,Male,36,2022-10-28,Toner,14,7
CUS0005629,Bùi Mai,Female,25,2022-09-13,Moisturizer,11,7
CUS0005630,Trần Linh,Female,28,2022-02-16,Toner,20,6
CUS0005631,Bùi Phương,Female,29,2025-10-17,Toner,16,8
CUS0005632,Nguyễn Hải,Male,23,2024-07-27,Serum,20,7
CUS0005633,Phạm Phương,Female,21,2025-11-15,Moisturizer,15,8
CUS0005634,Nguyễn Lan,Female,28,2025-09-11,Moisturizer,7,7
CUS0005635,Hồ Linh,Female,36,2023-05-04,Cleanser,16,8
CUS0005636,Phạm Mai,Female,27,2024-08-14,Toner,15,8
CUS0005637,Dương Thảo,Female,27,2023-03-29,Sunscreen,8,3
CUS0005638,Phan Nam,Male,37,2023-05-04,Sunscreen,8,2
CUS0005639,Hoàng Linh,Female,32,2024-09-18,Cleanser,11,3
CUS0005640,Bùi Nga,Female,34,2022-10-07,Moisturizer,15,8
CUS0005641,Đặng Bảo,Female,33,2025-09-19,Serum,8,3
CUS0005642,Nguyễn Lan,Female,16,2025-09-10,Serum,15,2
CUS0005643,Bùi Trang,Female,23,2025-07-14,Toner,11,8
CUS0005644,Phạm Trang,Female,44,2022-10-13,Moisturizer,20,7
CUS0005645,Bùi Quân,Male,29,2022-09-29,Serum,13,2
CUS0005646,Lý An,Female,23,2025-02-14,Serum,17,2
CUS0005647,Vũ Linh,Female,33,2025-07-23,Serum,18,2
CUS0005648,Lê Hoa,Female,29,2025-01-05,Sunscreen,7,6
CUS0005649,Bùi Ngọc,Female,31,2023-06-14,Moisturizer,20,7
CUS0005650,Hoàng Thu,Female,16,2025-02-05,Serum,4,6
CUS0005651,Đỗ Lan,Female,24,2024-03-13,Serum,10,5
CUS0005652,Lý Phương,Female,28,2025-04-16,Cleanser,16,2
CUS0005653,Ngô Đức,Male,19,2025-11-03,Serum,3,8
CUS0005654,Dương Linh,Female,16,2025-02-28,Toner,23,7
CUS0005655,Hoàng Dũng,Male,31,2024-12-22,Moisturizer,17,2
CUS0005656,Nguyễn Linh,Female,22,2025-10-13,Cleanser,23,2
CUS0005657,Lê Hà,Female,33,2022-11-18,Serum,6,7
CUS0005658,Đỗ Lan,Female,39,2023-05-13,Serum,17,7
CUS0005659,Trần Phúc,Male,30,2024-06-02,Serum,21,7
CUS0005660,Ngô Chi,Female,16,2024-03-20,Moisturizer,13,2
CUS0005661,Ngô Tài,Male,32,2025-07-29,Toner,11,7
CUS0005662,Đỗ Hà,Female,32,2023-08-07,Serum,11,8
CUS0005663,Trần Hương,Female,32,2025-11-08,Cleanser,2,7
CUS0005664,Ngô Nam,Male,16,2025-09-22,Cleanser,3,2
CUS0005665,Đặng Lan,Female,24,2025-03-12,Sunscreen,7,7
CUS0005666,Hoàng Hùng,Male,21,2025-06-14,Sunscreen,19,3
CUS0005667,Vũ Ngọc,Female,28,2023-02-08,Sunscreen,23,8
CUS0005668,Hoàng Mai,Female,55,2023-02-12,Serum,20,7
CUS0005669,Lê Ngọc,Female,18,2025-11-10,Sunscreen,10,7
CUS0005670,Đặng Thu,Female,23,2024-11-24,Sunscreen,11,7
CUS0005671,Đặng Trang,Female,23,2023-05-06,Moisturizer,3,5
CUS0005672,Phạm Mai,Female,26,2022-07-26,Serum,20,2
CUS0005673,Phạm Minh,Male,16,2025-01-09,Serum,13,7
CUS0005674,Lý Bảo,Female,29,2024-03-06,Cleanser,23,3
CUS0005675,Đỗ Tuấn,Male,27,2023-05-26,Cleanser,17,1
CUS0005676,Phạm Hương,Female,31,2023-02-04,Toner,7,2
CUS0005677,Phạm Ngọc,Female,27,2025-06-22,Moisturizer,3,2
CUS0005678,Vũ Lan,Female,23,2022-12-15,Serum,22,2
CUS0005679,Đỗ Phương,Female,31,2024-01-10,Toner,15,3
CUS0005680,Hồ An,Female,37,2023-07-31,Sunscreen,6,2
CUS0005681,Đỗ Mai,Female,24,2025-02-05,Serum,17,1
CUS0005682,Nguyễn Hà,Female,36,2024-06-07,Sunscreen,19,8
CUS0005683,Đặng Chi,Female,32,2025-09-04,Toner,16,8
CUS0005684,Hồ Thu,Female,27,2025-01-18,Serum,5,3
CUS0005685,Hoàng Nga,Female,25,2025-05-15,Serum,8,1
CUS0005686,Lê Diệu,Female,23,2025-02-18,Moisturizer,22,1
CUS0005687,Lê Minh,Male,39,2022-01-04,Serum,12,7
CUS0005688,Phan Chi,Female,28,2024-12-21,Cleanser,10,7
CUS0005689,Hoàng Trang,Female,32,2025-08-23,Sunscreen,14,2
CUS0005690,Trần Lan,Female,27,2023-04-15,Toner,7,1
CUS0005691,Phan Ngọc,Female,29,2023-03-12,Toner,14,2
CUS0005692,Hồ Phương,Female,25,2024-07-24,Sunscreen,17,7
CUS0005693,Ngô Nhung,Female,21,2025-10-20,Moisturizer,13,7
CUS0005694,Bùi An,Female,23,2023-04-06,Cleanser,6,8
CUS0005695,Dương Mai,Female,24,2024-03-16,Serum,20,7
CUS0005696,Phạm Phương,Female,36,2025-10-07,Toner,17,5
